Impl Alg NumFlows Average StdDev
kernel reno 64 12.636448194560883 4.924131848958939
ccp reno 16 19.31285261549977 5.650118713278356
kernel cubic 8 10.211619468582352 8.027182742939468
kernel cubic 2 9.908230401628089 8.260809144231782
kernel cubic 64 10.754739328240412 5.451496481705698
ccp cubic 32 23.98786369620403 6.223788727218446
ccp cubic 1 12.386124232091557 9.365344066340718
ccp reno 32 19.63349597068437 5.331954693863521
kernel reno 1 7.510974342808881 3.3591103089521184
kernel cubic 4 8.885152617871176 3.864078977375904
ccp reno 1 8.861245828656193 3.4220786383868105
ccp cubic 16 22.11053732255138 5.255918346239715
kernel cubic 1 8.389282776390559 2.9949541795774115
kernel reno 32 11.532011223965583 6.8151878468712335
ccp reno 4 15.205048330665548 4.8923693400951045
kernel reno 4 7.32489077533353 3.545366127056979
ccp cubic 4 17.934088909103473 6.65215481389326
ccp cubic 64 24.507371453888283 6.391570708819467
kernel cubic 32 11.577706123342278 4.368975729643445
ccp reno 64 20.96828039176844 7.502470689632535
kernel reno 16 9.26930198654744 3.7283090170348636
kernel reno 8 9.62712899227145 6.94239806240059
kernel cubic 16 9.589594593558036 3.779158690383694
ccp cubic 8 19.428283923849584 5.5810725856975285
ccp reno 2 12.264757458599014 5.376643686064748
ccp cubic 2 13.481940471188373 4.972538152623492
kernel reno 2 7.101568241630769 7.218496535349015
ccp reno 8 18.02379430261647 5.3261847975420435
