Impl NumFlows Type Value
ccp 32 user 2.8707278860006253
ccp 32 system 8.03885616686077
ccp 32 interrupt 7.155403878346841
ccp 1 user 1.595148064618769
ccp 1 system 4.654326498549475
ccp 1 interrupt 0.63390618378093
ccp 16 user 2.6994390255377714
ccp 16 system 7.650405137190819
ccp 16 interrupt 4.816102382949984
ccp 4 user 2.527564607576644
ccp 4 system 7.289146259791848
ccp 4 interrupt 3.2139858309923386
ccp 64 user 3.54745717767687
ccp 64 system 8.298444422658434
ccp 64 interrupt 8.251415703493185
ccp 8 user 2.497801203743379
ccp 8 system 7.328063547893954
ccp 8 interrupt 4.197804554489877
ccp 2 user 2.1877965157235724
ccp 2 system 7.03031796373474
ccp 2 interrupt 2.0164751498232723
kernel 8 user 0.5314991957662322
kernel 8 system 8.864686146369392
kernel 8 interrupt 0.8154341264467277
kernel 2 user 0.7230682981615336
kernel 2 system 8.265115354297077
kernel 2 interrupt 0.9200467491694779
kernel 64 user 0.6477343081706438
kernel 64 system 8.258486738845138
kernel 64 interrupt 1.8485182812246295
kernel 4 user 0.24993018376036139
kernel 4 system 8.014239247593952
kernel 4 interrupt 0.6209831865168624
kernel 1 user 0.11194916262007666
kernel 1 system 7.6369539208148325
kernel 1 interrupt 0.6403796929556504
kernel 32 user 0.5527054010251112
kernel 32 system 9.312201011559626
kernel 32 interrupt 1.7127997107575395
kernel 16 user 0.3204117496759741
kernel 16 system 8.067512746703798
kernel 16 interrupt 1.2016700971782641

