Impl NumFlows Type Value
10ms 32 user 2.8707278860006253
10ms 32 system 8.03885616686077
10ms 32 interrupt 7.155403878346841
10ms 1 user 1.595148064618769
10ms 1 system 4.654326498549475
10ms 1 interrupt 0.63390618378093
10ms 16 user 2.6994390255377714
10ms 16 system 7.650405137190819
10ms 16 interrupt 4.816102382949984
10ms 4 user 2.527564607576644
10ms 4 system 7.289146259791848
10ms 4 interrupt 3.2139858309923386
10ms 64 user 3.54745717767687
10ms 64 system 8.298444422658434
10ms 64 interrupt 8.251415703493185
10ms 8 user 2.497801203743379
10ms 8 system 7.328063547893954
10ms 8 interrupt 4.197804554489877
10ms 2 user 2.1877965157235724
10ms 2 system 7.03031796373474
10ms 2 interrupt 2.0164751498232723
rtt 32 user 3.7200281199564205
rtt 32 system 10.21243582670447
rtt 32 interrupt 10.055399749543142
rtt 1 user 2.6057709671470644
rtt 1 system 8.661382183767806
rtt 1 interrupt 1.118971081176687
rtt 16 user 3.6995986345730643
rtt 16 system 9.673010283590246
rtt 16 interrupt 8.737928404388068
rtt 4 user 3.4951464879600427
rtt 4 system 9.675986326580666
rtt 4 interrupt 4.762956094562762
rtt 64 user 3.9807493765053374
rtt 64 system 11.430938053023022
rtt 64 interrupt 9.095684024359924
rtt 8 user 3.239745766306471
rtt 8 system 9.17879222172181
rtt 8 interrupt 7.0097459358213055
rtt 2 user 2.6233646519267007
rtt 2 system 9.296895588395627
rtt 2 interrupt 1.5616802308660447

