Impl NumFlows Type Value
kernel 8 user 0.5314991957662322
kernel 8 system 8.864686146369392
kernel 8 interrupt 0.8154341264467277
kernel 2 user 0.7230682981615336
kernel 2 system 8.265115354297077
kernel 2 interrupt 0.9200467491694779
kernel 64 user 0.6477343081706438
kernel 64 system 8.258486738845138
kernel 64 interrupt 1.8485182812246295
ccp 32 user 3.7200281199564205
ccp 32 system 10.21243582670447
ccp 32 interrupt 10.055399749543142
ccp 1 user 2.6057709671470644
ccp 1 system 8.661382183767806
ccp 1 interrupt 1.118971081176687
kernel 4 user 0.24993018376036139
kernel 4 system 8.014239247593952
kernel 4 interrupt 0.6209831865168624
ccp 16 user 3.6995986345730643
ccp 16 system 9.673010283590246
ccp 16 interrupt 8.737928404388068
kernel 1 user 0.11194916262007666
kernel 1 system 7.6369539208148325
kernel 1 interrupt 0.6403796929556504
ccp 4 user 3.4951464879600427
ccp 4 system 9.675986326580666
ccp 4 interrupt 4.762956094562762
ccp 64 user 3.9807493765053374
ccp 64 system 11.430938053023022
ccp 64 interrupt 9.095684024359924
kernel 32 user 0.5527054010251112
kernel 32 system 9.312201011559626
kernel 32 interrupt 1.7127997107575395
kernel 16 user 0.3204117496759741
kernel 16 system 8.067512746703798
kernel 16 interrupt 1.2016700971782641
ccp 8 user 3.239745766306471
ccp 8 system 9.17879222172181
ccp 8 interrupt 7.0097459358213055
ccp 2 user 2.6233646519267007
ccp 2 system 9.296895588395627
ccp 2 interrupt 1.5616802308660447
