Impl NumFlows Type Value
kernel 64 user 0.740428475185972
kernel 64 system 9.649026698969895
kernel 64 interrupt 2.2469930204050166
ccp 16 user 1.5113429126514897
ccp 16 system 9.482571232872077
ccp 16 interrupt 8.318938469976207
ccp 32 user 1.4580740294335761
ccp 32 system 10.785682936051892
ccp 32 interrupt 7.389739005198901
kernel 1 user 0.10616738838479423
kernel 1 system 6.826194636527848
kernel 1 interrupt 0.5786123178962388
ccp 1 user 0.4484909550937929
ccp 1 system 7.303687735343771
ccp 1 interrupt 1.1090671382186295
kernel 32 user 0.694124438213217
kernel 32 system 9.476611729415906
kernel 32 interrupt 1.3612750563364597
ccp 4 user 1.1147164790460216
ccp 4 system 9.765256239298209
ccp 4 interrupt 4.325075612321317
kernel 4 user 0.1816950292952333
kernel 4 system 6.646987430536858
kernel 4 interrupt 0.4962083155014383
ccp 64 user 2.0395062374758326
ccp 64 system 10.154306366130449
ccp 64 interrupt 8.77446778816216
kernel 16 user 0.3117453306961442
kernel 16 system 7.86803978794748
kernel 16 interrupt 1.0895168679038167
kernel 8 user 0.45928076701629506
kernel 8 system 8.316632298393296
kernel 8 interrupt 0.8512159268618589
ccp 2 user 0.8193928170287081
ccp 2 system 9.136941140834976
ccp 2 interrupt 2.308423500735331
kernel 2 user 0.3236002158091508
kernel 2 system 6.275070721352896
kernel 2 interrupt 0.5028973044687224
ccp 8 user 1.397885663154982
ccp 8 system 9.556206529702443
ccp 8 interrupt 7.069702109759043
