Algorithm Impl NumFlows Throughput
cubic kernel 1 33.9
cubic kernel 2 70.2
cubic kernel 4 105
cubic kernel 8 119
cubic kernel 16 107
cubic kernel 32 99.9
cubic kernel 64 113
reno kernel 1 28.7
reno kernel 2 65.9
reno kernel 4 108
reno kernel 8 126
reno kernel 16 113
reno kernel 32 107
reno kernel 64 114
cubic ccp-per-ack 1 22.8
cubic ccp-per-ack 2 56.3
cubic ccp-per-ack 4 85.8
cubic ccp-per-ack 8 107
cubic ccp-per-ack 16 103
cubic ccp-per-ack 32 92.5
cubic ccp-per-ack 64 87.7
reno ccp-per-ack 1 19.9
reno ccp-per-ack 2 55.0
reno ccp-per-ack 4 84.9
reno ccp-per-ack 8 106
reno ccp-per-ack 16 97.5
reno ccp-per-ack 32 90.9
reno ccp-per-ack 64 93.9
cubic ccp-10-ms 1 27.7
cubic ccp-10-ms 2 63.1
cubic ccp-10-ms 4 101
cubic ccp-10-ms 8 118
cubic ccp-10-ms 16 109
cubic ccp-10-ms 32 96
cubic ccp-10-ms 64 105
reno ccp-10-ms 1 27.5
reno ccp-10-ms 2 63.5
reno ccp-10-ms 4 99.9
reno ccp-10-ms 8 118
reno ccp-10-ms 16 107
reno ccp-10-ms 32 94.9
reno ccp-10-ms 64 100
